legacy_path,smear_pct
female/caucasian/camila-quintero-franco-8NDuYUjSMiY-unsplash.jpg,68.8
female/black/gabrielle-henderson-hZpmaacR8gE-unsplash.jpg,68.7
female/asian/amoon-ra-p1JglmknQr0-unsplash.jpg,66.7
female/hispanic/obi-onyeador-02QKRJiv-JI-unsplash.jpg,65.4
female/caucasian/andrey-zvyagintsev-byfNhh81CWU-unsplash.jpg,65.2
male/hispanic/darius-bashar-8Kfyz3FMjtE-unsplash.jpg,64.4
female/caucasian/jj-jordan-t9tNNBEPwV0-unsplash.jpg,63.6
female/caucasian/freckles-2411973_1920.jpg,62.7
female/caucasian/woman-918583_1920.jpg,61.2
male/mideastern/zachi-denicola-RytIjfk0tFY-unsplash.jpg,60.4
male/asian/pexels-hoang-gia-huy-6465256.jpg,60.4
female/mideastern/pexels-engin-akyurt-3168993.jpg,60.2
female/hispanic/girl-676185_1920.jpg,59.3
female/black/pexels-rfstudio-3061415.jpg,58.1
male/indian/young-1761404_1920.jpg,56.7
female/indian/jyotirmoy-gupta-AXBsyZVjPLQ-unsplash.jpg,56.7
male/black/close-up-1868524_1920.jpg,56.6
male/caucasian/erik-mclean-seybbgI9-4k-unsplash.jpg,56.5
male/asian/raphiell-alfaridzy-jagYILIMvxw-unsplash.jpg,56.0
male/caucasian/daniil-onischenko-_J2fMaieLSM-unsplash.jpg,55.7
male/asian/137.jpg,55.0
female/hispanic/shahin-khalaji-NdGrKgLVbIA-unsplash.jpg,55.0
male/caucasian/male-3673510_1920.jpg,54.6
female/black/portrait-856125_1920.jpg,53.9
female/hispanic/omid-armin-xOjzehJ49Hk-unsplash.jpg,53.7
male/hispanic/zulmaury-saavedra-Z9GKfYmWOAM-unsplash.jpg,53.4
female/caucasian/valdemars-magone-8ACtYtJ5G-E-unsplash(1).jpg,53.0
male/indian/pexels-anna-tarazevich-5119607.jpg,52.9
male/caucasian/mysterious-4289694_1920.jpg,52.3
female/asian/girl-526707_1920.jpg,52.3
female/mideastern/jan-kopriva-VKHv4GLr5O0-unsplash.jpg,51.8
female/black/woman-659348_1920.jpg,51.7
male/caucasian/male-2634974_1920.jpg,51.3
female/black/pexels-kaone-makoko-3785991.jpg,51.1
male/caucasian/lesly-juarez-RukI4qZGlQs-unsplash.jpg,50.5
male/caucasian/g_11.jpg,50.0
male/caucasian/max-bender-1uMdzWWCAJk-unsplash.jpg,49.8
male/hispanic/face-3265605_1920.jpg,49.8
male/caucasian/boy-3028416_1920.jpg,49.3
male/caucasian/jarred-ray-Nskqh3dRzSQ-unsplash.jpg,48.6
female/asian/pexels-min-an-1586654.jpg,48.3
female/caucasian/pexels-aadil-2598024.jpg,48.2
female/caucasian/pexels-saeed-khosravi-5450630.jpg,47.7
female/asian/36.jpg,47.7
female/indian/woman-4686065_1920.jpg,47.2
male/caucasian/alex-sheldon-j1WRSUj5QI0-unsplash.jpg,47.2
female/mideastern/woman-1284347_1920.jpg,46.9
female/caucasian/40.jpg,46.5
female/caucasian/anastasia-vityukova-Cq6TBhIV0fw-unsplash.jpg,46.3
female/caucasian/girl-3956612_1920.jpg,46.1
male/black/pexels-cottonbro-6626360.jpg,45.6
female/hispanic/joao-paulo-de-souza-oliveira-ZHKKg9lnCSk-unsplash.jpg,45.4
male/caucasian/teenager-1131815_1280.jpg,45.3
male/caucasian/pexels-ira-dulger-1452127.jpg,45.3
female/caucasian/girl-2120196_1920.jpg,44.8
male/caucasian/man-4070556_1920.jpg,44.8
female/mideastern/muslim-5016606_1920.jpg,44.7
female/black/models-2158971_1920.jpg,44.1
female/caucasian/pexels-alina-schelkanova-4495746.jpg,44.0
male/mideastern/man-1885147_1920.jpg,44.0
female/asian/muhammad-ruqiyaddin-0BFQaFG9iR0-unsplash.jpg,44.0
female/caucasian/hesam-jr-TAGFNCnw7f4-unsplash.jpg,43.2
male/mideastern/milad-shams-89UvLA2zWJI-unsplash.jpg,43.2
female/black/pexels-adrienne-andersen-2661256.jpg,42.8
male/black/male-4948673_1920.jpg,42.7
male/hispanic/hamed-taha-xPmMqkAze7g-unsplash.jpg,42.7
female/indian/gift-habeshaw-XvqeCMXHwzQ-unsplash.jpg,42.6
female/caucasian/girl-139353_1920.jpg,42.4
male/caucasian/pexels-caroline-ayumi-fugitani-3718045.jpg,42.4
female/mideastern/jyotirmoy-gupta-fpBNEz7N14s-unsplash.jpg,42.3
male/mideastern/damir-yakupov-rsx0Bj6s770-unsplash.jpg,42.1
female/black/61.jpg,41.8
female/asian/cris-trung-LRLxSTpq2Ds-unsplash.jpg,41.7
female/mideastern/50.jpg,41.5
male/caucasian/man-3552370_1920.jpg,41.4
